area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot Area,Ready To Move,Nungambakkam,5 BHK,Society5,4012,5,2,279.92
Built-up Area,Ready To Move,Anna Nagar,3 BHK,Society3,3214,4,1,131.13
Built-up Area,Under Construction,Nungambakkam,4 BHK,Society2,3804,1,2,183.09
Built-up Area,Under Construction,Sholinganallur,2 BHK,Society3,2242,3,0,116.31
Plot Area,Under Construction,Adyar,4 BHK,Society3,2019,5,1,133.33
Built-up Area,Ready To Move,Adyar,1 BHK,Society2,513,2,1,20.71
Carpet Area,Ready To Move,Kodambakkam,4 BHK,Society5,4672,1,2,195.61
Plot Area,Ready To Move,Medavakkam,1 BHK,Society4,1135,2,0,47.81
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society5,1960,2,3,93.83
Carpet Area,Under Construction,Velachery,2 BHK,Society5,1761,3,2,82.32
Carpet Area,Under Construction,Velachery,3 BHK,Society5,1816,1,0,78.16
Carpet Area,Ready To Move,Velachery,4 BHK,Society5,2828,2,3,84.99
Built-up Area,Under Construction,Sholinganallur,3 BHK,Society3,3196,4,2,83.52
Built-up Area,Under Construction,Kodambakkam,4 BHK,Society4,3511,1,2,117.06
Carpet Area,Under Construction,Medavakkam,4 BHK,Society3,4406,3,0,284.09
Plot Area,Under Construction,Adyar,1 BHK,Society2,1013,2,0,35.78
Built-up Area,Ready To Move,Anna Nagar,4 BHK,Society1,3946,3,3,245.07
Plot Area,Under Construction,Thiruvanmiyur,1 BHK,Society5,587,2,3,30.41
Carpet Area,Ready To Move,Tambaram,1 BHK,Society3,1020,1,0,68.53
Carpet Area,Ready To Move,Adyar,5 BHK,Society1,3774,3,0,185.3
Carpet Area,Under Construction,Thiruvanmiyur,2 BHK,Society4,1593,1,2,91.91
Built-up Area,Under Construction,Tambaram,4 BHK,Society5,3496,3,0,99.28
Plot Area,Ready To Move,Medavakkam,4 BHK,Society4,3539,5,3,131.68
Built-up Area,Ready To Move,Nungambakkam,5 BHK,Society1,2849,4,0,188.7
Plot Area,Ready To Move,Thiruvanmiyur,5 BHK,Society2,3043,5,2,158.21
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society3,3592,3,1,176.7
Plot Area,Under Construction,T. Nagar,3 BHK,Society1,2170,3,0,121.44
Carpet Area,Ready To Move,Kodambakkam,5 BHK,Society4,4028,2,3,217.09
Carpet Area,Ready To Move,Medavakkam,3 BHK,Society1,3215,4,1,128.19
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society4,1931,2,2,134.54
Carpet Area,Under Construction,T. Nagar,5 BHK,Society2,2869,1,2,74.82
Built-up Area,Under Construction,Medavakkam,4 BHK,Society3,3355,5,1,162.57
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society2,1335,2,0,35.5
Built-up Area,Ready To Move,Kodambakkam,1 BHK,Society4,1199,1,3,78.09
Carpet Area,Ready To Move,Tambaram,2 BHK,Society4,1471,1,3,65.97
Carpet Area,Under Construction,Tambaram,2 BHK,Society1,1443,2,0,83.78
Built-up Area,Ready To Move,Anna Nagar,4 BHK,Society5,3931,2,0,117.04
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society4,515,1,0,15.13
Carpet Area,Ready To Move,Medavakkam,4 BHK,Society4,3332,3,2,141.98
Plot Area,Under Construction,Kodambakkam,5 BHK,Society4,3736,4,3,219.59
Plot Area,Under Construction,Velachery,2 BHK,Society2,1097,2,3,75.89
Built-up Area,Under Construction,Sholinganallur,3 BHK,Society2,3429,4,2,207.67
Plot Area,Ready To Move,Velachery,2 BHK,Society5,1033,3,0,39.98
Built-up Area,Under Construction,Nungambakkam,5 BHK,Society3,3491,5,0,183.41
Built-up Area,Under Construction,Velachery,1 BHK,Society1,760,1,1,32.26
Carpet Area,Under Construction,Adyar,2 BHK,Society3,2290,2,1,156.44
Built-up Area,Ready To Move,Velachery,1 BHK,Society1,696,1,3,29.33
Built-up Area,Under Construction,Thiruvanmiyur,3 BHK,Society1,2162,3,1,65.21
Plot Area,Under Construction,Adyar,2 BHK,Society2,1530,3,0,81.16
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society4,2671,1,0,165.4
Plot Area,Under Construction,Sholinganallur,2 BHK,Society3,1202,3,1,53.64
Plot Area,Under Construction,Sholinganallur,1 BHK,Society3,1176,1,3,31.14
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society1,3635,1,1,106.0
Carpet Area,Under Construction,Thiruvanmiyur,1 BHK,Society1,792,2,2,27.98
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society4,675,2,2,39.06
Plot Area,Ready To Move,Sholinganallur,2 BHK,Society2,2162,3,2,147.96
Plot Area,Ready To Move,Velachery,3 BHK,Society3,2565,2,0,161.99
Built-up Area,Under Construction,Tambaram,4 BHK,Society5,3361,2,3,187.77
Carpet Area,Under Construction,Medavakkam,3 BHK,Society5,1618,4,0,84.4
Carpet Area,Ready To Move,Adyar,2 BHK,Society3,2128,1,2,119.65
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society3,2920,1,1,187.93
Plot Area,Ready To Move,Anna Nagar,1 BHK,Society3,661,2,3,32.6
Plot Area,Ready To Move,Tambaram,4 BHK,Society3,4558,2,1,196.94
Carpet Area,Under Construction,Medavakkam,2 BHK,Society5,2369,1,2,146.92
Built-up Area,Ready To Move,Tambaram,4 BHK,Society4,4609,3,3,160.82
Plot Area,Under Construction,Adyar,4 BHK,Society3,3786,5,0,118.75
Plot Area,Under Construction,Thiruvanmiyur,2 BHK,Society1,1429,1,1,86.31
Plot Area,Under Construction,Sholinganallur,1 BHK,Society4,917,2,1,61.73
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society4,3899,2,2,255.57
Built-up Area,Under Construction,Tambaram,4 BHK,Society5,2095,1,1,136.99
Carpet Area,Ready To Move,Sholinganallur,5 BHK,Society2,3531,1,1,217.02
Plot Area,Ready To Move,Medavakkam,2 BHK,Society5,2065,2,1,123.06
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society4,1058,1,0,46.87
Plot Area,Ready To Move,T. Nagar,4 BHK,Society2,2056,2,3,93.99
Built-up Area,Under Construction,Thiruvanmiyur,4 BHK,Society3,4125,2,3,229.61
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society5,4437,5,2,139.78
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society4,1997,1,1,123.88
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society3,1172,1,1,52.59
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society5,3147,4,2,189.38
Carpet Area,Ready To Move,Kodambakkam,4 BHK,Society5,4217,2,3,263.28
Plot Area,Under Construction,Tambaram,5 BHK,Society1,2560,5,0,112.67
Plot Area,Under Construction,Tambaram,4 BHK,Society3,4536,3,1,235.27
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society2,953,2,2,40.63
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society2,3297,2,3,228.91
Carpet Area,Ready To Move,Tambaram,3 BHK,Society5,2659,3,3,174.04
Carpet Area,Under Construction,Tambaram,5 BHK,Society3,5139,2,3,188.88
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society4,3155,3,1,175.07
Plot Area,Under Construction,T. Nagar,1 BHK,Society4,890,2,0,22.81
Built-up Area,Ready To Move,Medavakkam,2 BHK,Society1,1118,1,2,53.69
Built-up Area,Under Construction,Nungambakkam,4 BHK,Society3,4107,3,1,217.05
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society3,3189,4,1,84.38
Plot Area,Ready To Move,Velachery,3 BHK,Society1,1633,1,3,43.67
Built-up Area,Under Construction,Tambaram,2 BHK,Society1,1826,1,3,115.21
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society4,2356,3,1,164.78
Carpet Area,Ready To Move,Kodambakkam,5 BHK,Society5,5337,1,2,259.24
Built-up Area,Ready To Move,Medavakkam,4 BHK,Society2,2184,3,3,79.39
Plot Area,Under Construction,Velachery,3 BHK,Society1,1939,4,2,107.98
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society4,1769,1,3,92.94
Carpet Area,Under Construction,Velachery,4 BHK,Society2,4544,5,2,212.77
Built-up Area,Ready To Move,Tambaram,3 BHK,Society2,2490,3,2,77.37
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society3,4236,4,1,145.17
Plot Area,Under Construction,Velachery,1 BHK,Society1,546,1,1,32.71
Built-up Area,Under Construction,Velachery,5 BHK,Society3,3774,1,1,256.26
Carpet Area,Ready To Move,Velachery,2 BHK,Society4,2075,2,0,118.9
Plot Area,Ready To Move,Kodambakkam,2 BHK,Society1,1942,1,1,110.08
Built-up Area,Under Construction,Thiruvanmiyur,3 BHK,Society3,2554,3,3,165.27
Plot Area,Ready To Move,T. Nagar,2 BHK,Society4,1872,1,3,55.42
Carpet Area,Under Construction,Kodambakkam,5 BHK,Society4,4537,1,3,269.99
Built-up Area,Ready To Move,Thiruvanmiyur,1 BHK,Society3,549,2,1,15.1
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society1,2729,2,2,129.39
Carpet Area,Under Construction,Velachery,1 BHK,Society1,829,1,0,26.6
Plot Area,Under Construction,Anna Nagar,1 BHK,Society2,793,2,2,26.31
Built-up Area,Ready To Move,Adyar,1 BHK,Society1,643,1,2,29.04
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society1,1004,2,3,52.5
Built-up Area,Under Construction,Velachery,4 BHK,Society4,3387,1,3,189.7
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society2,4182,1,1,169.78
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society1,3105,1,3,134.21
Carpet Area,Under Construction,Adyar,4 BHK,Society2,4130,4,3,248.18
Built-up Area,Under Construction,Tambaram,4 BHK,Society2,3597,4,3,119.41
Carpet Area,Under Construction,Adyar,4 BHK,Society3,2354,2,3,71.41
Carpet Area,Ready To Move,Tambaram,4 BHK,Society4,4127,4,3,213.7
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society1,3257,4,0,116.13
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society4,3439,3,0,115.98
Plot Area,Under Construction,Anna Nagar,2 BHK,Society1,1223,3,3,35.9
Plot Area,Under Construction,Sholinganallur,3 BHK,Society4,1608,1,1,53.97
Carpet Area,Ready To Move,Tambaram,1 BHK,Society3,1108,2,0,67.23
Plot Area,Ready To Move,Medavakkam,1 BHK,Society1,1101,2,1,61.32
Built-up Area,Under Construction,Medavakkam,5 BHK,Society1,4457,5,1,308.8
Built-up Area,Ready To Move,T. Nagar,5 BHK,Society1,5181,3,0,328.95
Carpet Area,Ready To Move,Sholinganallur,5 BHK,Society4,3397,1,1,108.22
Carpet Area,Under Construction,Thiruvanmiyur,4 BHK,Society3,4573,5,3,307.03
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society5,919,2,0,28.05
Plot Area,Ready To Move,Tambaram,5 BHK,Society2,5753,4,1,309.11
Plot Area,Under Construction,Thiruvanmiyur,5 BHK,Society5,3037,1,0,96.63
Carpet Area,Under Construction,Tambaram,3 BHK,Society4,2068,2,3,112.62
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society4,1632,3,0,58.71
Plot Area,Under Construction,Velachery,5 BHK,Society2,2962,3,1,145.3
Carpet Area,Under Construction,Velachery,3 BHK,Society1,1552,1,1,105.57
Carpet Area,Under Construction,Tambaram,3 BHK,Society4,2241,1,0,86.97
Built-up Area,Under Construction,Thiruvanmiyur,3 BHK,Society3,3254,1,1,93.85
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society2,1018,2,3,58.99
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society2,767,1,3,37.74
Carpet Area,Under Construction,Anna Nagar,1 BHK,Society2,913,1,3,39.71
Plot Area,Under Construction,Adyar,5 BHK,Society5,4789,5,1,129.1
Plot Area,Ready To Move,Tambaram,5 BHK,Society2,3286,4,3,111.97
Plot Area,Ready To Move,Velachery,5 BHK,Society2,3732,5,1,94.86
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society5,3324,2,3,140.37
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society4,868,1,1,48.23
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society5,531,1,0,32.51
Plot Area,Under Construction,Medavakkam,5 BHK,Society3,5597,1,3,289.81
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society4,3447,2,1,97.47
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society4,1176,3,1,50.77
Carpet Area,Under Construction,Nungambakkam,5 BHK,Society5,3959,5,3,233.68
Carpet Area,Ready To Move,Adyar,5 BHK,Society1,3050,5,0,186.09
Built-up Area,Under Construction,Medavakkam,1 BHK,Society2,694,2,0,39.74
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society5,1810,1,0,99.92
Carpet Area,Ready To Move,Tambaram,2 BHK,Society3,2330,3,1,94.73
Built-up Area,Under Construction,Tambaram,2 BHK,Society2,2165,1,1,77.9
Built-up Area,Under Construction,Adyar,2 BHK,Society4,2234,2,1,139.35
Built-up Area,Under Construction,T. Nagar,1 BHK,Society2,769,2,3,21.58
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society5,5533,5,1,321.77
Plot Area,Under Construction,Nungambakkam,1 BHK,Society3,858,2,3,58.43
Built-up Area,Ready To Move,Kodambakkam,3 BHK,Society5,1603,2,2,48.73
Plot Area,Under Construction,Nungambakkam,5 BHK,Society1,5620,3,0,320.36
Carpet Area,Under Construction,Tambaram,4 BHK,Society1,3140,5,2,88.48
Plot Area,Under Construction,Tambaram,1 BHK,Society1,569,1,3,30.58
Plot Area,Ready To Move,T. Nagar,4 BHK,Society4,2935,4,0,82.62
Built-up Area,Ready To Move,T. Nagar,1 BHK,Society1,1020,1,3,67.44
Built-up Area,Ready To Move,Velachery,3 BHK,Society5,2697,3,1,158.09
Carpet Area,Under Construction,Thiruvanmiyur,4 BHK,Society2,2993,5,1,92.87
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society1,3288,4,3,193.58
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society4,3791,5,3,172.44
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society2,3653,5,0,133.79
Plot Area,Under Construction,T. Nagar,3 BHK,Society3,1778,2,0,83.41
Built-up Area,Ready To Move,Velachery,5 BHK,Society4,3347,1,1,93.84
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society4,1844,2,0,55.25
Carpet Area,Under Construction,Tambaram,1 BHK,Society5,1049,1,1,62.6
Carpet Area,Ready To Move,Medavakkam,2 BHK,Society3,1414,3,0,87.28
Built-up Area,Ready To Move,Sholinganallur,2 BHK,Society1,2028,3,3,58.26
Carpet Area,Under Construction,Medavakkam,4 BHK,Society1,3649,1,1,223.06
Carpet Area,Ready To Move,T. Nagar,4 BHK,Society3,4468,2,3,169.53
Built-up Area,Under Construction,Tambaram,4 BHK,Society3,2974,3,3,151.69
Carpet Area,Ready To Move,Tambaram,3 BHK,Society5,3013,4,1,96.6
Plot Area,Ready To Move,Kodambakkam,4 BHK,Society4,4298,3,2,268.45
Carpet Area,Under Construction,Tambaram,4 BHK,Society4,4698,4,1,240.79
Carpet Area,Ready To Move,Anna Nagar,3 BHK,Society1,2737,2,3,178.08
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society3,3411,2,1,217.16
Carpet Area,Under Construction,Velachery,3 BHK,Society2,2274,2,0,79.32
Carpet Area,Ready To Move,Tambaram,3 BHK,Society4,3397,1,0,176.4
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society2,745,2,0,47.22
Carpet Area,Under Construction,Adyar,4 BHK,Society5,4214,5,0,262.53
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society3,1648,3,3,50.82
Plot Area,Under Construction,Thiruvanmiyur,2 BHK,Society5,1671,2,0,97.53
Carpet Area,Under Construction,Thiruvanmiyur,3 BHK,Society5,3070,2,0,196.17
Plot Area,Under Construction,Anna Nagar,2 BHK,Society5,1173,1,1,70.67
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society5,1525,3,2,50.1
Plot Area,Under Construction,Nungambakkam,5 BHK,Society2,3588,2,3,139.18
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society4,2712,2,3,134.9
Plot Area,Ready To Move,Velachery,5 BHK,Society4,2716,1,1,77.22
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society3,3767,4,2,94.84
Built-up Area,Under Construction,Velachery,4 BHK,Society4,2990,4,2,106.69
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society1,518,1,0,28.14
Built-up Area,Under Construction,Sholinganallur,2 BHK,Society4,1854,2,3,81.79
Plot Area,Ready To Move,Medavakkam,4 BHK,Society3,2723,2,1,90.16
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society1,4959,5,3,301.62
Plot Area,Under Construction,Adyar,3 BHK,Society4,1554,3,3,62.53
Carpet Area,Under Construction,Kodambakkam,5 BHK,Society2,4769,1,3,303.22
Plot Area,Ready To Move,T. Nagar,2 BHK,Society2,2345,2,3,122.1
Plot Area,Under Construction,Anna Nagar,5 BHK,Society2,2580,5,3,74.93
Built-up Area,Under Construction,Adyar,1 BHK,Society4,824,2,1,22.83
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society5,516,1,3,33.43
Plot Area,Under Construction,Tambaram,5 BHK,Society4,4703,2,2,247.42
Carpet Area,Under Construction,Thiruvanmiyur,5 BHK,Society1,5070,1,1,318.95
Built-up Area,Under Construction,T. Nagar,5 BHK,Society4,3080,1,2,114.04
Built-up Area,Under Construction,Adyar,5 BHK,Society5,4258,3,1,192.28
Built-up Area,Under Construction,Kodambakkam,3 BHK,Society5,1650,1,2,55.76
Plot Area,Under Construction,Tambaram,5 BHK,Society2,5072,2,2,263.68
Plot Area,Under Construction,T. Nagar,5 BHK,Society1,4835,2,3,147.19
Carpet Area,Ready To Move,Velachery,5 BHK,Society2,3743,2,2,245.78
Built-up Area,Ready To Move,Medavakkam,4 BHK,Society3,2600,2,1,107.07
Carpet Area,Under Construction,Kodambakkam,2 BHK,Society5,1956,2,1,113.9
Carpet Area,Under Construction,Tambaram,3 BHK,Society3,2312,4,1,69.02
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society1,3882,4,1,126.78
Plot Area,Under Construction,Anna Nagar,1 BHK,Society4,1007,1,3,26.39
Plot Area,Ready To Move,Thiruvanmiyur,4 BHK,Society2,3846,2,0,188.76
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society5,1456,1,2,99.6
Plot Area,Under Construction,Adyar,1 BHK,Society1,1108,1,2,30.14
Carpet Area,Ready To Move,Sholinganallur,4 BHK,Society3,4245,1,3,178.3
Built-up Area,Ready To Move,Tambaram,5 BHK,Society4,3346,3,2,145.33
Built-up Area,Ready To Move,Sholinganallur,2 BHK,Society5,2263,3,3,148.59
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society3,3163,3,0,175.81
Built-up Area,Under Construction,Nungambakkam,2 BHK,Society1,1561,2,2,49.91
Built-up Area,Ready To Move,T. Nagar,5 BHK,Society4,5568,5,0,179.5
Carpet Area,Under Construction,Tambaram,2 BHK,Society3,1322,3,1,52.62
Plot Area,Under Construction,Kodambakkam,4 BHK,Society5,3497,1,3,172.07
Built-up Area,Ready To Move,Kodambakkam,1 BHK,Society2,826,1,1,25.71
Plot Area,Ready To Move,Tambaram,2 BHK,Society5,1865,1,0,60.25
Plot Area,Ready To Move,Thiruvanmiyur,3 BHK,Society5,2006,2,0,119.63
Built-up Area,Under Construction,T. Nagar,2 BHK,Society4,1644,3,0,75.18
Built-up Area,Ready To Move,Medavakkam,4 BHK,Society5,3138,4,3,204.34
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society2,5090,3,1,146.97
Carpet Area,Under Construction,Thiruvanmiyur,2 BHK,Society2,2038,1,2,122.17
Plot Area,Ready To Move,Tambaram,1 BHK,Society1,1029,1,0,58.68
Built-up Area,Ready To Move,Kodambakkam,5 BHK,Society4,5236,1,0,315.38
Built-up Area,Under Construction,Nungambakkam,5 BHK,Society4,2725,4,0,136.14
Carpet Area,Under Construction,Anna Nagar,2 BHK,Society1,1576,3,0,67.19
Plot Area,Under Construction,Anna Nagar,5 BHK,Society1,4401,3,3,304.57
Built-up Area,Ready To Move,T. Nagar,5 BHK,Society4,4596,5,0,319.85
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society1,5334,2,2,302.71
Plot Area,Under Construction,Kodambakkam,1 BHK,Society3,1127,2,0,33.77
Carpet Area,Ready To Move,Anna Nagar,5 BHK,Society4,3032,2,1,148.86
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society4,1276,2,0,69.09
Carpet Area,Under Construction,Tambaram,1 BHK,Society1,504,2,0,30.09
Built-up Area,Under Construction,T. Nagar,3 BHK,Society4,2468,4,3,82.46
Built-up Area,Ready To Move,Adyar,1 BHK,Society3,526,1,3,17.26
Carpet Area,Ready To Move,Anna Nagar,5 BHK,Society2,5153,3,1,227.3
Plot Area,Under Construction,Adyar,1 BHK,Society5,936,2,0,26.84
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society1,3836,1,3,115.97
Plot Area,Ready To Move,Sholinganallur,5 BHK,Society2,5012,1,0,316.95
Built-up Area,Under Construction,Velachery,2 BHK,Society5,2251,1,1,97.95
Built-up Area,Ready To Move,Nungambakkam,5 BHK,Society2,4544,3,1,236.23
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society3,506,1,2,20.24
Plot Area,Ready To Move,Adyar,5 BHK,Society1,5192,5,3,265.41
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society3,3084,4,1,198.2
Plot Area,Under Construction,Sholinganallur,5 BHK,Society1,5722,3,3,341.43
Built-up Area,Ready To Move,Kodambakkam,2 BHK,Society4,1358,1,1,89.16
Built-up Area,Ready To Move,T. Nagar,3 BHK,Society2,2774,2,3,164.64
Built-up Area,Under Construction,Adyar,4 BHK,Society2,2214,3,2,87.54
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society1,4614,5,1,170.14
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society5,4065,4,3,175.01
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society5,5810,5,1,300.38
Built-up Area,Under Construction,Adyar,5 BHK,Society5,5838,4,1,336.33
Carpet Area,Ready To Move,Velachery,5 BHK,Society5,4850,3,1,304.47
Carpet Area,Ready To Move,Tambaram,4 BHK,Society5,2516,5,3,87.77
Built-up Area,Under Construction,Velachery,5 BHK,Society4,2570,2,0,109.31
Built-up Area,Under Construction,Adyar,2 BHK,Society1,1465,1,2,83.64
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society5,3260,3,3,110.64
Plot Area,Under Construction,Kodambakkam,5 BHK,Society2,4502,1,2,284.29
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society2,4445,2,2,188.17
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society2,2533,1,1,144.08
Plot Area,Ready To Move,Thiruvanmiyur,5 BHK,Society4,5235,3,0,149.56
Carpet Area,Ready To Move,Tambaram,3 BHK,Society3,2761,3,3,140.42
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society5,4384,1,1,298.23
Carpet Area,Under Construction,Nungambakkam,5 BHK,Society5,4432,1,1,231.55
Built-up Area,Under Construction,Tambaram,1 BHK,Society3,1058,2,1,62.81
Carpet Area,Ready To Move,Medavakkam,3 BHK,Society4,2841,3,0,83.84
Carpet Area,Under Construction,Medavakkam,5 BHK,Society4,4691,2,1,283.09
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society4,5628,2,3,376.22
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society3,2892,1,1,121.31
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society2,4608,1,3,216.51
Plot Area,Under Construction,Medavakkam,5 BHK,Society5,4146,4,3,252.19
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society4,3426,5,2,236.68
Built-up Area,Ready To Move,Adyar,2 BHK,Society2,2336,1,2,137.56
Plot Area,Under Construction,Tambaram,1 BHK,Society3,1141,2,1,29.1
Built-up Area,Ready To Move,Adyar,5 BHK,Society2,4114,4,2,261.52
Carpet Area,Under Construction,Thiruvanmiyur,1 BHK,Society1,969,1,1,49.01
Built-up Area,Ready To Move,Tambaram,2 BHK,Society1,1261,1,1,73.4
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society1,2218,1,1,147.05
Carpet Area,Under Construction,Anna Nagar,2 BHK,Society4,1477,3,0,51.39
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society2,1620,1,1,71.26
Carpet Area,Under Construction,Medavakkam,1 BHK,Society1,1145,2,0,49.65
Carpet Area,Ready To Move,Tambaram,5 BHK,Society4,3536,2,2,245.24
Built-up Area,Ready To Move,Anna Nagar,3 BHK,Society3,2066,2,2,131.79
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society3,2729,2,0,111.94
Built-up Area,Ready To Move,T. Nagar,1 BHK,Society2,724,1,3,50.2
Carpet Area,Under Construction,Medavakkam,1 BHK,Society1,732,2,0,32.78
Plot Area,Ready To Move,Tambaram,4 BHK,Society5,2733,1,1,169.61
Carpet Area,Ready To Move,Adyar,4 BHK,Society4,2007,4,1,110.37
Carpet Area,Ready To Move,Medavakkam,2 BHK,Society5,1461,3,2,88.12
Built-up Area,Ready To Move,Adyar,5 BHK,Society3,2960,1,1,115.43
Built-up Area,Ready To Move,Nungambakkam,1 BHK,Society4,1016,1,2,37.71
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society5,2424,2,3,130.76
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society3,2830,1,1,101.65
Carpet Area,Ready To Move,Velachery,3 BHK,Society5,3081,3,2,78.56
Carpet Area,Under Construction,T. Nagar,3 BHK,Society3,3543,2,0,224.97
Plot Area,Ready To Move,Kodambakkam,2 BHK,Society4,2273,2,2,84.29
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society4,4101,5,2,117.23
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society2,3173,3,1,95.97
Carpet Area,Under Construction,Nungambakkam,2 BHK,Society1,1444,3,3,94.46
Plot Area,Ready To Move,Nungambakkam,5 BHK,Society3,4101,4,3,220.47
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society2,1946,3,2,126.02
Built-up Area,Under Construction,T. Nagar,1 BHK,Society5,512,1,1,26.31
Built-up Area,Under Construction,Velachery,3 BHK,Society4,1659,2,0,62.08
Built-up Area,Under Construction,Medavakkam,3 BHK,Society1,2461,1,0,104.74
Carpet Area,Under Construction,Sholinganallur,1 BHK,Society3,765,2,1,47.93
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society1,2332,2,1,154.28
Built-up Area,Ready To Move,Anna Nagar,3 BHK,Society4,1576,1,3,50.53
Carpet Area,Under Construction,Tambaram,4 BHK,Society3,2600,2,1,133.23
Carpet Area,Ready To Move,T. Nagar,5 BHK,Society4,2599,3,2,90.68
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society3,4388,4,2,245.6
Carpet Area,Ready To Move,Tambaram,5 BHK,Society3,2591,1,1,135.15
Carpet Area,Ready To Move,Thiruvanmiyur,3 BHK,Society3,3181,1,0,220.03
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society3,753,2,3,37.34
Plot Area,Under Construction,Sholinganallur,2 BHK,Society3,2061,2,3,126.86
Carpet Area,Ready To Move,T. Nagar,5 BHK,Society2,5662,2,1,314.64
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society1,2594,1,0,114.32
Carpet Area,Ready To Move,Anna Nagar,3 BHK,Society1,2632,3,2,146.69
